place_id,place,address,lat,lng,place_type,category
88,화담숲,경기 광주시 도척면 도웅리 산 33,37.3407647182545,127.289422510268,관광지,"['경치', '자연']"
89,태안 솔향기길 캠핑장,충남 태안군 이원면 내리 522-7,36.9343482434402,126.296670831015,액티비티,"['바다', '힐링']"
90,형제섬캠프타운,전남 고흥군 동일면 백양리 988,34.5104243628792,127.457044569231,액티비티,"['바다', '힐링']"
91,몽산포 청솔캠핑장,충남 태안군 남면 몽산리,36.6822851901115,126.274385449031,액티비티,"['바다', '힐링']"
92,드림니닭,경기 남양주시 화도읍 금남리 123,37.6525382156451,127.370233192016,음식점,['맛집']
93,무주 깊은골 캠핑장,강원특별자치도 영월군 주천면 판운리 463-5,37.2912399716185,128.326333075934,액티비티,"['자연', '힐링']"
94,더코지캠핑장,충남 논산시 노성면 병사리 353-4,36.2774293109409,127.103456276046,액티비티,"['자연', '힐링']"
95,내포캠핑스퀘어,충남 홍성군 홍북읍 상하리 88-20,36.6439403204609,126.661903257273,액티비티,"['자연', '힐링']"
96,바다와 파도소리 캠핑장,충남 태안군 소원면 의항리 488,36.8126252312764,126.155866720853,액티비티,"['바다', '휴양']"
97,서천 스테리움 캠핑장,충남 서천군 마서면 덕암리 746,36.0366967152877,126.715173915094,액티비티,"['자연', '휴양']"
98,천만금 카페,충남 태안군 소원면 의항리 977-13,36.7956138434997,126.147340471941,카페,['카페']
99,여수 포차거리,전남 여수시 교동 606-1,34.7391277224777,127.730129283306,음식점,['맛집']
100,선창횟집,충남 당진시 송악읍 한진리 95-7,36.9711608754173,126.782566492057,음식점,['맛집']
101,삼천리골돼지집,서울 은평구 진관동 346-7,37.6433079320019,126.942590761377,음식점,['맛집']
102,양양 남대천 수영장(퐁당퐁당 물놀이장),강원특별자치도 양양군 양양읍 남문리,38.0735587080714,128.625044559538,관광지,"['액티비티', '자연']"
103,휘닉스 평창 워터파크,강원특별자치도 평창군 봉평면 면온리 1120,37.5825421416807,128.326740667555,액티비티,"['액티비티', '휴양']"
104,돌고개늘품,경기 양주시 장흥면 석현리 201-9,37.7475943990262,126.947858597404,음식점,['맛집']
105,코코몰디브,경기 이천시 율현동 488-5,37.2524246648461,127.439713574329,관광지,"['바다', '휴양']"
106,송정솔바람해변캠핑장,경남 남해군 미조면 송정리 1125-2,34.7224818924021,128.024902137221,액티비티,"['바다', '휴양']"
107,계곡식당,경기 양주시 장흥면 석현리 373-4,37.7357375054803,126.95067098887,음식점,['맛집']
108,갈남항,강원특별자치도 삼척시 원덕읍 갈남리 99-20,37.2807185546706,129.325092824415,관광지,"['자연', '액티비티']"
109,더하루 캠핑파크,경남 창원시 마산합포구 진전면 양촌리 1059-33,35.1256237625428,128.378916367679,액티비티,"['휴양', '오락']"
110,여수 디오션 리조트 워터파크,전남 여수시 소호동 923,34.7333890318737,127.643422287354,액티비티,"['휴양', '오락']"
111,송우관광농원 페리아도 워터파크,경기 포천시 소흘읍 이동교리 193-15,37.8232383736,127.12950723208,액티비티,"['휴양', '오락']"
112,함안드윌연수원,경남 함안군 산인면 모곡리 809-2,35.2818216941994,128.451901970578,액티비티,"['휴양', '자연']"
113,한탄강유원지,경기 연천군 전곡읍 전곡리 689-2,38.0146018220096,127.056884784735,관광지,"['경치', '자연']"
114,계곡식당,경기 양주시 장흥면 석현리 38,37.7549036925391,126.969133713461,음식점,['맛집']
115,창바우마을캠핑장,경북 포항시 남구 장기면 신창리 304-29,35.8889477018537,129.524792747392,관광지,"['바다', '휴양']"
116,종삼육,서울 종로구 돈의동 51,37.5728050631156,126.99096553832,음식점,['맛집']
117,가로림만라모스캠핑장,충남 태안군 태안읍 도내리 309-3,36.8128708370377,126.331098792281,액티비티,"['바다', '힐링']"
118,태종대해녀촌,부산 영도구 동삼동 산 19-2,35.0596949578329,129.079805736256,음식점,['맛집']
119,신기로 BBQ라운지,경기 용인시 처인구 남동 493-2,37.2164770398415,127.198253485483,음식점,['맛집']
120,강릉 중앙시장횟집,강원특별자치도 강릉시 성남동 60-2,37.753752203291,128.898073344911,음식점,['맛집']
121,강릉342캠프,강원특별자치도 강릉시 구정면 여찬리 34-2,37.7245869819274,128.887378471045,관광지,"['자연', '힐링']"
122,영등포아빠네집,서울 영등포구 영등포동4가 142,37.5198807372878,126.903573115557,음식점,['맛집']
123,주안호,충남 당진시 석문면 초락도리 130,36.9890844100098,126.513220560184,음식점,['맛집']
