place_id,address,lat,lng,place,place_type,category,region_id,popularity
5391,제주특별자치도 제주시 구좌읍 동복리 687-10,33.5561296438702,126.718759983351,동복해녀해산물직판장,음식점,['맛집'],1,0.7600032527053495
5392,경기 양평군 양평읍 양근리 509,37.4969362584004,127.484594180683,물빛정원도서관,관광지,"['문화', '자연']",0,0.804974038265607
5393,서울 마포구 서교동 351-10,37.5552100147798,126.920081534682,웯우드스튜디오,액티비티,"['휴양', '문화']",0,0.9396161397365428
5394,강원특별자치도 정선군 정선읍 봉양리 343-1,37.3805279327432,128.664790857106,정선아리랑시장,관광지,"['쇼핑', '문화']",4,0.8120127723630178
5395,강원특별자치도 정선군 북평면 숙암리 산 400,37.4742024065869,128.609727189081,가리왕산케이블카,관광지,"['자연', '경치']",4,0.7070221977820824
5396,제주특별자치도 서귀포시 표선면 성읍리 2192,33.3816132069957,126.786881674095,녹차동굴,관광지,"['자연', '경치']",1,0.6677680442915745
5397,제주특별자치도 서귀포시 대정읍 무릉리,33.2732805031741,126.216132350203,제주 서남쪽 해안,관광지,"['경치', '자연']",1,0.8772014455906034
5398,서울 광진구 구의동 589-10,37.5358285666892,127.092583672192,재즈바주옥,음식점,['맛집'],0,0.857257239793948
5399,제주특별자치도 제주시 구좌읍 송당리 2808,33.432818471371,126.753635845809,천미천,관광지,"['자연', '경치']",1,0.5293458932016597
5400,서울 동작구 본동 산 3-9,37.5118003827004,126.958588093172,더한강,카페,['카페'],0,0.5957648959941069
5401,제주특별자치도 제주시 구좌읍 행원리 575-15,33.5570203928874,126.811992228495,코난비치,관광지,"['바다', '휴양']",1,0.7135365054791074
5402,서울 중구 만리동2가 6-1,37.5559207289285,126.964537696454,손기정문화도서관,카페,['카페'],0,0.603657508777005
5403,강원특별자치도 삼척시 근덕면 용화리,37.2701234001766,129.288575805366,용화방파제,관광지,"['바다', '액티비티']",4,0.5667881142946887
5404,제주특별자치도 제주시 용담일동 432,33.5167824276414,126.515248713147,더비치크랩 제주공항점,음식점,['맛집'],1,0.6945714283666248
5405,서울 종로구 장사동 109-1,37.5697736263134,126.994816912673,진영이네,음식점,['맛집'],0,0.8850997046551751
5406,서울 강서구 마곡동 797-1,37.5593135416408,126.83523920295,마린씨,음식점,['맛집'],0,0.694311843774921
5407,서울 마포구 연남동 487-93,37.5621279716844,126.918257211965,알앤엠,카페,['카페'],0,0.7713756692417271
5408,인천 연수구 송도동 83,37.3952040049379,126.631287119931,솔트스테이크,음식점,['맛집'],0,0.5381521603872863
5409,서울 서대문구 연희동 446-285,37.5678388864936,126.918578888978,카시코이,카페,['카페'],0,0.8745444897498631
5410,서울 마포구 연남동 223-17,37.5651591431347,126.924402160127,레인리포트브리티시,카페,['카페'],0,0.7604520699125703
5411,서울 마포구 공덕동 242-6,37.5469320049897,126.954765795168,누들빠반,음식점,['맛집'],0,0.6499037598123395
5412,제주특별자치도 제주시 애월읍 하귀2리 2740-8,33.4877416158624,126.390419766385,광해,음식점,['맛집'],1,0.6263183576169715
5413,서울 중구 을지로3가 346-3,37.5660532816543,126.989956138386,20세기 인쇄사무실,관광지,"['문화', '오락']",0,0.6037234747971034
5414,서울 중구 봉래동2가 122-11,37.5547278494914,126.969526329341,파이브가이즈 서울역점,음식점,['맛집'],0,0.8787357875035375
5415,서울 종로구 종로3가 18,37.5706792079197,126.991544115529,시애틀커피하우스,카페,['카페'],0,0.8515912111891402
5416,서울 용산구 이촌동,37.5141954312249,126.972097769518,한강대교북단 교차로,관광지,"['야경', '경치']",0,0.6257306709635462
5417,서울 용산구 한강로3가,37.5276608637792,126.962182447512,한강초교앞보도육교,관광지,"['야경', '경치']",0,0.8089064119259534
5418,충남 태안군 원북면 신두리 437-2,36.8307159436261,126.212376917265,컨츄리로드커피,카페,['카페'],0,0.7562539411056666
5419,서울 마포구 연남동 383-42,37.5616340858423,126.926254674487,수크레크레페하우스,음식점,['맛집'],0,0.9362911135345666
5420,서울 종로구 화동 83-2,37.580785464509,126.981800086909,썰그레고리스트룹와플,음식점,['맛집'],0,0.5648217983085924
5421,서울 광진구 자양동,37.5311077958687,127.073018338792,삼성해맞이공원,관광지,"['야경', '자연']",0,0.8956871203876295
5422,제주특별자치도 제주시 조천읍 함덕리,33.5343347298526,126.66409595919,함덕 서우봉,관광지,"['경치', '자연']",1,0.9087803231582399
5423,경기 김포시 고촌읍 전호리 646-1,37.6002879134853,126.792712807577,항몽유적지,관광지,"['관광지', '자연']",0,0.6461947106864457
5424,경기 이천시 마장면 장암리 325,37.2790228554903,127.400005934045,이진상회,카페,['카페'],0,0.6906545818247356
5425,강원특별자치도 강릉시 초당동 344-1,37.7925439238125,128.912643897053,김군박군횟집,음식점,['맛집'],4,0.9935243998740277
5426,서울 마포구 연남동 227-31,37.5625116465661,126.926094899133,수크레크레페하우스,카페,['카페'],0,0.562651495874505
5427,경남 진주시 동성동 11-12,35.1921853306923,128.083891278085,브레디포스트 연남,음식점,['맛집'],3,0.9806343741004614
5428,경기 고양시 일산동구 백석동,37.6500444005322,126.792363029713,팽페르뒤,음식점,['맛집'],0,0.584920798360114
5429,서울 마포구 연남동 373-12,37.5606076166187,126.9234798056,브레디포스트 연남점,음식점,['맛집'],0,0.666869839766914
5430,경기 의정부시 산곡동 668,37.728517826312,127.113721038619,아나키아,카페,['카페'],0,0.6952188366509388
5431,경북 경주시 사정동 46-2,35.8373059702079,129.208276300672,득춘,음식점,['맛집'],3,0.8428330168355151
5432,충남 태안군 원북면 신두리 산 305-1,36.8467780073784,126.198811381783,신두리 해안사구,관광지,"['자연', '경치']",0,0.8187391257996919
5433,경기 가평군 청평면 고성리 616-2,37.7150277522095,127.490720315781,"쁘띠프랑스, 이탈리아마을",관광지,"['문화', '관광지']",0,0.9404578336166172
5434,경북 경주시 황성동 982-1,35.8642255695594,129.208090142703,빛누리정원,관광지,"['야경', '경치']",3,0.9747632169352278
5435,인천 중구 을왕동 875-1,37.4639729001986,126.369598716804,경주타워,관광지,"['야경', '경치']",0,0.7831358279696281
5436,서울 마포구 연남동 228-20,37.5631565493367,126.925473216007,메이드림,카페,['카페'],0,0.9872280871657275
5437,인천 중구 중산동 1957-2,37.4890698389967,126.577714541121,영종진공원,관광지,"['경치', '자연']",0,0.9163112643367057
5438,경기 파주시 광탄면 기산리 451-2,37.7750805028085,126.930064736222,마장호수,관광지,"['자연', '휴양']",0,0.9930744004086056
5439,경기 김포시 양촌읍 구래리 265-1,37.6477928227512,126.617806526575,리스터프,카페,['카페'],0,0.520871356777667
5440,제주특별자치도 제주시 구좌읍 월정리 650,33.5580121276854,126.794561614379,더슬로우,음식점,['맛집'],1,0.9082513329999659
5441,제주특별자치도 제주시 구좌읍 행원리 1376,33.556688667726,126.803497234638,어부피자,음식점,['맛집'],1,0.5601701730117734
5442,제주특별자치도 제주시 용담삼동 503-5,33.5161994716315,126.508820233362,용두네해장국,음식점,['맛집'],1,0.756844195243634
5443,제주특별자치도 제주시 구좌읍 김녕리 4009,33.5578453390451,126.747079096628,김녕 떠오르길,관광지,"['경치', '자연']",1,0.5754529784223923
5444,제주특별자치도 제주시 조천읍 신흥리 59-10,33.5480977179589,126.651568202622,쇠물깍,관광지,"['경치', '자연']",1,0.6895446194848105
5445,서울 구로구 개봉동 403-219,37.4933821784716,126.856457193532,옥스라이브파이어그릴,음식점,['맛집'],0,0.6553211414114317
5446,경기 포천시 군내면 명산리 34,37.8609887552133,127.23471642306,울미숲카페,카페,['카페'],0,0.8326671058769943
5447,제주특별자치도 제주시 애월읍 하귀2리 2626,33.4824341372855,126.396846966785,아베끄,음식점,['맛집'],1,0.7135432385723115
5448,제주특별자치도 서귀포시 안덕면 동광리 1602,33.3100560655355,126.332543747506,로바타탄요 제주점,음식점,['맛집'],1,0.8968099573518336
5449,제주특별자치도 제주시 노형동 716,33.4760757847189,126.482743771781,하와,카페,['카페'],1,0.6671594391594403
5450,경기 양주시 장흥면 삼상리 146-7,37.69865609604,126.938445179108,멜버즈,카페,['카페'],0,0.8397808957451367
5451,제주특별자치도 제주시 노형동 2589-4,33.4831842143677,126.470426239022,삼상리마켓,액티비티,"['자연', '오락']",1,0.9280964109851404
5452,제주특별자치도 제주시 영평동 2458-19,33.4784153000996,126.564459032875,회심,음식점,['맛집'],1,0.5877928593407044
5453,인천 중구 운서동 2746-4,37.4996627957163,126.480475226894,세계평화의숲,관광지,"['경치', '자연']",0,0.9707900117519742
5454,경기 포천시 소흘읍 직동리 165-19,37.7750159263388,127.165893590439,포옥,카페,['카페'],0,0.7808739649521959
5455,제주특별자치도 제주시 한림읍 금악리 2124-3,33.3590342743843,126.29632888798,꿀봉,음식점,['맛집'],1,0.8541845752264867
5456,제주특별자치도 제주시 한경면 청수리 956-6,33.2909224885464,126.250683452214,산양큰엉곶,관광지,"['자연', '경치']",1,0.5928594000327592
5457,제주특별자치도 제주시 애월읍 봉성리 3138,33.4172353700503,126.314113160508,영국찻집,카페,['카페'],1,0.713262652974235
5458,제주특별자치도 서귀포시 안덕면 서광리 1413-1,33.2908735852658,126.301913338489,올드캡,음식점,['맛집'],1,0.8248571862535994
5459,제주특별자치도 제주시 조천읍 북촌리 403-9,33.5523307919722,126.697756984795,창꼼,관광지,"['경치', '자연']",1,0.9198928628173457
5460,제주특별자치도 서귀포시 성산읍 삼달리 115-11,33.3696144820773,126.866050294922,덴드리,카페,['카페'],1,0.822378498158987
5461,제주특별자치도 서귀포시 안덕면 사계리 234-1,33.2352641297553,126.308675794842,산방산유채꽃 군락지,관광지,"['자연', '경치']",1,0.6918330439808713
5462,서울 종로구 청운동 97,37.5853424414099,126.971079214015,뮤통,카페,['카페'],0,0.7761575100136748
5463,경기 광주시 신현동 383-1,37.3601106610777,127.158364408796,스멜츠,카페,['카페'],0,0.5129943482838117
5464,제주특별자치도 제주시 조천읍 북촌리 1281,33.5498682802124,126.6934323933,해녀의 부엌 북촌점,음식점,['맛집'],1,0.7738439578067937
5465,제주특별자치도 서귀포시 안덕면 창천리 840-2,33.2349773538276,126.363674644868,더 바 루시아,음식점,['맛집'],1,0.6772819896031628
5466,제주특별자치도 서귀포시 안덕면 사계리,33.2316941376571,126.306514122101,사계해변,관광지,"['경치', '바다']",1,0.651091128007903
5467,제주특별자치도 제주시 구좌읍 송당리 2793,33.4588620156228,126.778952571552,송당무끈모루,관광지,"['경치', '자연']",1,0.7806385888828604
5468,경기 가평군 청평면 삼회리 271-5,37.6892274238513,127.387545335296,북한강 드라이브길,관광지,"['경치', '힐링']",0,0.5377504676756379
5469,제주특별자치도 서귀포시 안덕면 상천리 380,33.303954807155,126.392568258817,본태박물관,전시장,"['문화', '관광지']",1,0.7258034381222377
5470,서울 강서구 공항동 66-60,37.559846899814,126.808522146334,소장식물전,카페,['카페'],0,0.5713725187049046
5471,제주특별자치도 제주시 한림읍 금능리 1296-3,33.3864801590517,126.228886028386,홀라인 협재점,카페,['카페'],1,0.6256409040061541
